id,topic,question,answer
1,Excel,What does VLOOKUP do?,Looks up a value in the leftmost column of a table and returns a value in the same row from another column.
2,Excel,How do you make a cell reference absolute?,Use $ signs like $A$1 to lock column and row.
3,Excel,What is the difference between COUNT and COUNTA?,COUNT counts numeric cells; COUNTA counts non-empty cells.
4,Excel,How do you remove duplicates in Excel?,Use Data → Remove Duplicates or UNIQUE() in Excel 365.
5,Excel,What function returns the current date?,TODAY() returns current date.
6,Excel,How to combine text from two cells?,Use CONCATENATE(), & operator, or TEXTJOIN().
7,Excel,What does the IF function do?,Performs conditional logic: IF(condition, value_if_true, value_if_false).
8,Excel,How do you freeze a row or column?,View → Freeze Panes → choose top row or first column.
9,Excel,What is a Pivot Table used for?,Summarizing and aggregating data quickly (sum, avg, count, etc.).
10,Excel,What is INDEX MATCH used for?,An alternative to VLOOKUP: INDEX returns value and MATCH finds position.
11,Excel,How to calculate percentage change between two numbers?,(New - Old)/Old * 100.
12,Excel,What does the TRIM function do?,Removes extra leading/trailing spaces from text.
13,Excel,When to use SUMIF vs SUMIFS?,SUMIF is for one condition; SUMIFS is for multiple conditions.
14,Excel,What is conditional formatting?,Format cells based on criteria (e.g., highlight values > 100).
15,Excel,How to get unique values in Excel 365?,Use UNIQUE(range).
16,Power BI,What is Power Query used for?,Data extraction, transformation, and loading (ETL) inside Power BI.
17,Power BI,What is DAX?,Data Analysis Expressions, formula language for calculations in Power BI.
18,Power BI,What is the difference between calculated column and measure?,Calculated columns are computed at data refresh and stored; measures are computed at query time based on filter context.
19,Power BI,How do relationships work in Power BI model?,Relationships link tables via keys (one-to-many, many-to-one) enabling cross-table filtering.
20,Power BI,What is a slicer?,A visual filter control that filters data in the report.
21,Power BI,Why use star schema?,Simplifies data model and improves performance over normalized schema.
22,Power BI,What is row-level security (RLS)?,Restricts data access for specific users by roles/filters.
23,Power BI,How to improve report performance?,Use aggregates, reduce visuals, limit columns, use proper data types, and prefer measures over calculated columns.
24,Power BI,What is Power BI Desktop vs Service?,Desktop is authoring tool; Service is cloud for sharing and dashboards.
25,Power BI,What is data refresh?,Process of updating dataset with new data from source (scheduled or manual).
26,Power BI,What is a gateway in Power BI?,A bridge for on-prem data sources to refresh in the cloud.
